,FIR A,FIR B,FIR C,FIR D
71,0.010439126890909214,0.010439126890909214,0.010439126890909214,-0.01058885758519364
72,0.009992944448431896,0.009992944448431896,0.009992944448431896,-0.011230056224172886
73,0.009540603079249766,0.009540603079249766,0.009540603079249766,-0.01155880946480392
74,0.00908310362357427,0.00908310362357427,0.00908310362357427,-0.011590088171103284
75,0.008621452166627776,0.008621452166627776,0.008621452166627776,-0.011343408075448463
76,0.008156657320192495,0.008156657320192495,0.008156657320192495,-0.010842340547161138
77,0.007689727507889525,0.007689727507889525,0.007689727507889525,-0.010113958281703432
78,0.007221668262275161,0.007221668262275161,0.007221668262275161,-0.009188227819777817
79,0.006753479541784039,0.006753479541784039,0.006753479541784039,-0.008097361682795132
80,0.006286153075466025,0.006286153075466025,0.006286153075466025,-0.006875143518785017
81,0.00582066974335583,0.00582066974335583,0.00582066974335583,-0.005556239981236629
82,0.005357997000181999,0.005357997000181999,0.005357997000181999,-0.004175513108856049
83,0.004899086349965267,0.004899086349965267,0.004899086349965267,-0.002767346739034415
84,0.004444870878876082,0.004444870878876082,0.004444870878876082,-0.00136499998001216
85,0.003996262853518041,0.003996262853518041,0.003996262853518041,-2e-18
86,0.003554151391578438,0.003554151391578438,0.003554151391578438,0.001298414615133528
87,0.003119400211540369,0.003119400211540369,0.003119400211540369,0.00250378990674542
88,0.002692845467883248,0.002692845467883248,0.002692845467883248,0.003592883372736597
89,0.002275293677911463,0.002275293677911463,0.002275293677911463,0.004546014530102697
90,0.00186751974604482,0.00186751974604482,0.00186751974604482,0.0053473338479439
